"","mpid","firstname","surname","party","PublicWhip.URL"
"621",42001,"Mike","Amesbury","Lab","https://www.publicwhip.org.uk/mp.php?mpid=42001"
"622",42002,"James","Heappey","Con","https://www.publicwhip.org.uk/mp.php?mpid=42002"
"623",42003,"Grant","Shapps","Con","https://www.publicwhip.org.uk/mp.php?mpid=42003"
"624",42004,"Andrew","Bowie","Con","https://www.publicwhip.org.uk/mp.php?mpid=42004"
"625",42005,"Lyn","Brown","Lab","https://www.publicwhip.org.uk/mp.php?mpid=42005"
"626",42006,"Rosie","Cooper","Lab","https://www.publicwhip.org.uk/mp.php?mpid=42006"
"627",42008,"Tim","Farron","LDem","https://www.publicwhip.org.uk/mp.php?mpid=42008"
"628",42009,"John","Penrose","Con","https://www.publicwhip.org.uk/mp.php?mpid=42009"
"629",42010,"Steve","Brine","Con","https://www.publicwhip.org.uk/mp.php?mpid=42010"
"630",42011,"Priti","Patel","Con","https://www.publicwhip.org.uk/mp.php?mpid=42011"
"631",42012,"Robert","Courts","Con","https://www.publicwhip.org.uk/mp.php?mpid=42012"
"632",42013,"Peter","Bottomley","Con","https://www.publicwhip.org.uk/mp.php?mpid=42013"
"633",42014,"Ben","Wallace","Con","https://www.publicwhip.org.uk/mp.php?mpid=42014"
"634",42015,"Rachael","Maskell","Lab","https://www.publicwhip.org.uk/mp.php?mpid=42015"
"635",42016,"Julian","Sturdy","Con","https://www.publicwhip.org.uk/mp.php?mpid=42016"
"636",42017,"Steve","Double","Con","https://www.publicwhip.org.uk/mp.php?mpid=42017"
"637",42018,"Sheryll","Murray","Con","https://www.publicwhip.org.uk/mp.php?mpid=42018"
"638",42019,"Scott","Mann","Con","https://www.publicwhip.org.uk/mp.php?mpid=42019"
"639",42020,"Emma","Dent Coad","Lab","https://www.publicwhip.org.uk/mp.php?mpid=42020"
"641",42023,"Janet","Daby","Lab","https://www.publicwhip.org.uk/mp.php?mpid=42023"
"663",42045,"Ruth","Jones","Lab","https://www.publicwhip.org.uk/mp.php?mpid=42045"
"664",42046,"Lisa","Forbes","Lab","https://www.publicwhip.org.uk/mp.php?mpid=42046"
"666",42048,"Jane","Dodds","LDem","https://www.publicwhip.org.uk/mp.php?mpid=42048"
