"country","countrycode","year","aid","oil","gdp.capita","institutions","polity2","population","mortality"
"Gabon","GAB",2002,0.790148954,"24.8929356212503",3999.933002,-0.235890095432599,-4,"1294409",61.9
"Gabon","GAB",2003,2.609245273,"24.0483162938322",4015.086321,-0.332438973089059,-4,"1328146",61.1
"Gabon","GAB",2004,4.451095621,"31.0524830035172",3988.342019,-0.500117982427279,-4,"1364205",60.1
"Gabon","GAB",2005,2.796472585,"38.2739126170236",4029.244182,-0.44898609817028,-4,"1403126",59.2
"Gabon","GAB",2006,2.805423649,"37.7865701686021",3999.621287,-0.621109788616498,-4,"1444844",58.3
"Gabon","GAB",2007,2.327608943,"35.8076218306893",4143.312899,-0.607309361298879,-4,"1489193",57
"Gabon","GAB",2008,1.438549169,"39.3395476875212",4161.609584,-0.619339682161808,-4,"1536411",56.1
"Gabon","GAB",2009,0.299880201,"23.0511305771239",4027.546278,-0.648626430581013,3,"1586754",55.2
"Gabon","GAB",2010,1.29086846,"31.4193026847041",4213.859513,-0.575354556242625,3,"1640210",54.4
"Ghana","GHA",1996,1.73271933,"0",241.7979034,-0.278225224465132,2,"17185608",69.5
"Ghana","GHA",1998,2.239758867,"0",251.4944566,-0.263688879708449,2,"18036494",67.1
"Ghana","GHA",2000,3.333005999,"0",259.7110113,-0.0796167220299443,2,"18938762",64
"Ghana","GHA",2002,0.956723038,"0.0151135044999419",268.9389346,-0.210476934444159,6,"19924522",61
"Ghana","GHA",2003,1.793652175,"0.0149194757811177",276.1078583,-0.0915138218551874,6,"20446782",59.4
"Ghana","GHA",2004,1.569792705,"0.0455229936142064",284.5427305,-0.166201036423445,8,"20986536",57.9
"Ghana","GHA",2005,1.352288444,"0.029955399045163",294.0913096,-0.0663184349735578,8,"21542009",56.6
"Ghana","GHA",2006,3.119482589,"0.0357493279267154",305.4221975,0.070299523572127,8,"22113425",55.1
"Ghana","GHA",2007,5.615260449,"0.0394108857428631",317.3945607,0.080073479252557,8,"22700212",53.8
"Ghana","GHA",2008,9.517032036,"0.0552040073008234",335.9900121,0.0564911623174945,8,"23298640",52.5
