"child_mortality","life_expectancy","radio_television_per_cap","log_population","civil_war","year","country_name","international_war","urban_population_pct","oil_production_per_cap","inequality_gini","gdp_per_cap","inflation","region_name","education15","government_effectiveness","political_stability","polity","healthcare","womens_civ_lib","media_censorship","internet_access"
5.3,78.2,0.603434676311637,17.8996702298263,0,2002,"United Kingdom",0,81.6248026051024,412.41484,34.4000015258789,22008.009765625,1.27400004863739,"Western Europe/North America",12.75,1.84908628463745,0.600201845169067,10,2.1416375048101,0.957456272804872,2.5337108165268,1
5.3,78.4,0.543928040092303,17.9042889242872,0,2003,"United Kingdom",0,76.9532171116151,418.87652,34,22762.76953125,1.36300003528595,"Western Europe/North America",12.7950000762939,1.83138120174408,0.252792119979858,10,2.92144856998847,0.957456272804872,2.5337108165268,1
5.2,78.7,0.620554900781087,17.9091522732473,0,2004,"United Kingdom",0,97.1170209010718,484.03017,35.810001373291,23306.560546875,1.34399998188019,"Western Europe/North America",12.8400001525879,1.89997124671936,0.15200600028038,10,3.16262256518156,0.957456272804872,2.5337108165268,1
5.1,79,0.571492396005862,17.9141889157138,0,2005,"United Kingdom",0,89.8925099903748,837.68737,34.5800018310547,23810.4296875,2.04099988937378,"Western Europe/North America",12.8850002288818,1.7470566034317,0.0947135239839554,10,3.88529498573542,0.957456272804872,2.5337108165268,1
5,79.2,0.628283433207174,17.9193846364369,0,2006,"United Kingdom",0,96.7360200231236,979.47881,34.3699989318848,24285.279296875,2.29999995231628,"Western Europe/North America",12.9299993515015,1.71901857852936,0.640380024909973,10,2.86751368945614,0.957456272804872,2.5337108165268,1
4.9,79.5,0.699209311672626,17.9247298737992,0,2007,"United Kingdom",0,80.0786673354205,1480.07144474317,34.2000007629395,25002.119140625,2.34599995613098,"Western Europe/North America",12.9749994277954,1.66142880916596,0.559392035007477,10,2.33410413867013,0.957456272804872,2.5337108165268,1
4.7,79.7,0.582480257028039,17.9301627833292,0,2008,"United Kingdom",0,100,6064.99128456489,34.2849998474121,24602.130859375,3.62899994850159,"Western Europe/North America",13.0199995040894,1.64477860927582,0.455756187438965,10,3.58447555244119,0.957456272804872,2.5337108165268,1
4.6,80,0.656258172882762,17.9356109072438,0,2009,"United Kingdom",0,99.2123954367824,4144.76784206968,34.5849990844727,23489.359375,2.11999988555908,"Western Europe/North America",13.0649995803833,1.50288224220276,0.106363140046596,10,3.08856899827869,0.957456272804872,2.5337108165268,1
4.4,80.2,0.616274284623114,17.941018976681,0,2010,"United Kingdom",0,100,7617.12467946036,34.0999984741211,23777.16015625,3.07800006866455,"Western Europe/North America",13.1099996566772,1.55978834629059,0.401284515857696,10,2.80054403633029,0.945684450843003,2.5337108165268,1
39.5,69.2,0.227996046001464,15.4728666926321,1,1993,"Georgia",0,51.2536962029457,3.4222076,40,2419.97998046875,-17.9746406928514,"Eastern Europe",4.70382976531982,-0.495667487865168,-1.42309026461277,4,0.0438741760712951,0.737394325749223,0.520408025587493,0
38.9,70.2,0.479147120641734,15.4591371981684,1,1994,"Georgia",0,45.6404911437503,2.8670273,39,2222.31005859375,309.979538365459,"Eastern Europe",4.8080096244812,-1.51193117127041,-0.680463867191242,4,-0.450750974987219,0.746174750060634,0.840247296912134,0
38.1,70.7,0.494086233772139,15.4452165775773,0,1995,"Georgia",0,66.6651595150718,1.6971465,38,2328.88989257812,162.717147827148,"Eastern Europe",5.02773094177246,-0.652488031651309,-1.5600002891799,5,1.4702654308767,0.811197899760116,0.884642168450493,0
37.1,71.2,0.50105214832898,15.4310994343735,0,1996,"Georgia",0,62.1924995158494,2.4350772,37.1300010681152,2632.830078125,39.3574981689453,"Eastern Europe",6.63100814819336,-0.672069907188416,-1.69196152687073,5,0.0824206544673388,0.789021299009393,0.884642168450493,0
35.9,71.3,0.507626370985548,15.4167801402384,0,1997,"Georgia",0,54.6272737122905,4.998554,45.875,2940.22998046875,7.08761739730835,"Eastern Europe",6.7289514541626,-0.559694025244562,-1.54684334894601,5,0.964814759495923,0.789021299009393,0.855572106129235,0
34.5,71.4,0.542399874888492,15.402252821548,0,1998,"Georgia",0,56,2.7629761,45.7750015258789,3053.17993164062,3.56680774688721,"Eastern Europe",6.79191923141479,-0.639214992523193,-1.76540541648865,5,0.145060771473989,0.794716126493572,0.855572106129235,0
32.9,71.4,0.215801012521108,15.3875113449065,0,1999,"Georgia",0,55.2766807248938,3.7898992,40.1500015258789,3162.40991210938,19.1926765441895,"Eastern Europe",6.8543586730957,-0.3447520540143,-1.68604865204234,5,0.91411254292165,0.794716126493572,0.862359437703173,0
31.2,71.4,0.228334919694059,15.3725493015992,0,2000,"Georgia",0,68.169889131382,5.4006929,40.4799995422363,3246.36010742188,4.06396198272705,"Eastern Europe",6.78895235061646,-0.725712478160858,-0.989189445972443,5,1.09353317718534,0.794716126493572,0.853885288136846,1
29.3,71.7,0.129619848040315,15.3600623688617,0,2001,"Georgia",0,32.7897028132756,4.5419503,42.685001373291,3424.59008789062,4.64604425430298,"Eastern Europe",6.81278514862061,-0.911836464344704,-0.851711624132886,5,0.00401846609927048,0.794716126493572,0.853885288136846,1
27.4,71.6,0.249631771478878,15.3478136141573,0,2002,"Georgia",0,75.3456991151813,3.4025662,42.5149993896484,3625.61010742188,5.58783721923828,"Eastern Europe",7.24402809143066,-0.877823770046234,-1.36108338832855,5,0.369587467501726,0.794716126493572,0.858082075922216,1
25.5,71.7,0.122694203663831,15.3357254859706,0,2003,"Georgia",0,60.1735231903377,7.2800891,39.5299987792969,4041.7099609375,4.76441764831543,"Eastern Europe",7.33374261856079,-0.499819308519363,-1.35018670558929,5,0.748553582444544,0.794716126493572,0.834186662189643,1
23.6,71.5,0.294827600538163,15.3236968350517,0,2004,"Georgia",0,64.4469147195247,6.7909517,39.7799987792969,4294.080078125,5.66309261322021,"Eastern Europe",7.3275785446167,-0.485901921987534,-0.864596366882324,7,0.478750520435868,0.822307021571331,0.685467386519941,1
21.9,71.8,0.355218058307914,15.3116774154307,0,2005,"Georgia",0,55.9749639932968,9.4484989,40.3400001525879,4722.5,8.24707126617432,"Eastern Europe",7.42832326889038,-0.424358010292053,-0.682402312755585,7,1.03051637071535,0.814003638325092,0.886164637094388,1
20.2,71.9,0.287888865041278,15.2995802397487,0,2006,"Georgia",0,66.7463103251329,5.519074,39.8549995422363,5183.10986328125,9.16640472412109,"Eastern Europe",7.52673149108887,-0.181198269128799,-0.936575293540955,7,0.0641061103459956,0.806206262535969,0.912128917592287,1
18.6,72.1,0.438668128779606,15.2874916691428,0,2007,"Georgia",0,54.8626119333683,0,40.7999992370605,5842.27978515625,9.23812770843506,"Eastern Europe",7.66614818572998,0.108092293143272,-0.623883962631226,6,1.02769140655687,0.806206262535969,0.902619550908441,1
17.2,71.8,0.305785398677029,15.2757547180149,0,2008,"Georgia",0,53.2144966224024,0,40.7849998474121,5996.85986328125,10.0079135894775,"Eastern Europe",7.71672391891479,0.295664310455322,-0.909837365150452,6,1.22120950174098,0.738990502764678,0.89291283722438,1
16,72.1,0.345997737305735,15.2648576494811,0,2009,"Georgia",0,37.1468800873427,1383.80842184776,41.8699989318848,5789.47998046875,1.73124885559082,"Eastern Europe",7.5968165397644,0.277762711048126,-0.94289630651474,6,0.49974564778199,0.744702091621713,0.607373885783278,1
14.9,72.2,0.180838802347282,15.2551539614731,0,2010,"Georgia",0,70.7580844718419,22.7263955810712,43,6171.47998046875,7.09942007064819,"Eastern Europe",7.85559606552124,0.292477339506149,-0.716687321662903,6,0.861625742060594,0.793441490360562,0.607373885783278,1
