"district","CDU","SPD","AfD","Die.Linke","Grune","FDP","unemploymentrate","migrantfraction","catholicfraction"
"Dessau – Wittenberg",35.2507727179065,12.1953430867505,19.3711106532042,18.1932825056666,4.61240469812487,4.98083659592005,10.05,3.2,3.4
"Anhalt",31.5756123095573,12.8702096592005,22.232553654572,21.1842576521476,1.96572719508499,6.34556574923547,10.36,3.3,4
"Halle",27.0769558389012,21.3292251177895,17.313732797402,20.3157026113344,3.64349029733543,6.74195437485027,10.17,6.4,3.7
"Burgenland – Saalekreis",33.5497785121915,13.1341106740832,23.3597877440827,16.924616566202,2.48640429476885,6.61748163319136,9.34,3,2.8
"Mansfeld",31.0391921833569,15.1574588645527,23.8654607533326,18.0596418582689,2.65664160401003,8.05709926991392,11.67,2.6,3.3
"Berlin-Mitte",18.5720741075463,23.482676990106,13,20.4443215463577,17.9448442379157,6.0348955628545,12.45,24.1,10.3
"Berlin-Pankow",19.5792333005868,16.4076465946242,12.0469832885081,28.7837061611883,14.1508167855743,4.21840357742955,10.43,24.1,6.5
"Berlin-Reinickendorf",36.8212883740604,23.6666938757337,13.1449476472814,7.69818713406897,7.89038208950794,7.15796347553781,8.87,24.1,10.9
"Berlin-Spandau – Charlottenburg Nord",30.9108734948987,32.144060786176,13.4440393394405,7.54465516713135,6.14831949508257,6.34440393394406,9.81,24.1,10.3
"Berlin-Steglitz-Zehlendorf",35.3573471195792,24.5427325027195,8.16969642596808,7.51421426248444,12.7390070762916,9.03040226082471,5.31,24.1,12.2
"Berlin-Charlottenburg-Wilmersdorf",30.1895604219847,27.6119737187238,7.55362775016154,9.43323800932768,13.5839906851173,9.22531652048187,6.83,24.1,12.6
"Berlin-Tempelhof-Schöneberg",28.9667297506131,21.9924075297596,9.07065028723726,10.8360675931421,18.9106260988365,6.36121345143843,8.56,24.1,12.1
"Berlin-Neukölln",24.4228862767313,26.7632063447104,10.7222772978332,16.5684747202946,10.9651607421045,5.06231411981306,12.31,24.1,10.6
"Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost",12.2256888759294,16.9278320454877,6.14900131214463,24.8700976818778,26.3332847353842,3.05000728969237,11.89,24.1,8.7
