"pair","date","year","village","district","vilno","disno","treat","poverty","pop2000","lpop2000","pret","pret.1","diff","groznyy","elevation","lelev","tariq","nn","lnn","reb","garrison","vildays","deaths","deathsd","wounded","woundedd","fail","swept","prop","propd","lprop","history","historyd","lhistory","change","decrease","increase","abandon","iso"
29,"11/25/2000",2000,"Grozny  (Zavodskiy)","Groznyy",144,2,1,1,11783,9.37441253662109,18,18,2,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,6,3,1,0,0,1,0,5,1,1.79175901412964,0,0,0,1,0,1,0,4
29,"11/25/2000",2000,"Oktyabr'skiy (Groznyy)","Groznyy",97,2,0,1,16520,9.712327003479,14,14,0,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,4,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,4
30,"11/27/2000",2000,"Borzoi","Shatoiskiy",20,11,0,3,4313,8.36938858032227,1,1,-1,0,919,6.82328605651855,0,0.925999999046326,-0.0768809989094734,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,-1,1,0,3,5
30,"11/27/2000",2000,"Makhkety","Vedenskiy",77,15,1,3,3495,8.15908908843994,1,1,-1,0,649,6.47543287277222,0,1.67599999904633,0.516409993171692,1,0,90,1,1,1,1,0,0,3,1,1.38629400730133,0,0,0,-1,1,0,0,6
31,"11/27/2000",2000,"Mesker-Yurt","Shalinskiy",84,10,1,2,7674,8.94559288024902,1,1,-1,0,135,4.90527486801147,0,6.06400012969971,1.80236995220184,1,0,90,1,1,3,1,0,0,21,1,3.09104299545288,0,0,0,-1,1,0,0,0
31,"11/27/2000",2000,"Tolstoy-Yurt","Groznenskiy",130,3,0,2,6934,8.84419345855713,4,4,-4,0,149,5.00394582748413,1,1.22599995136261,0.203756794333458,1,1,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,2
32,"11/29/2000",2000,"Dyshne-Vedeno","Vedenskiy",33,15,1,3,3572,8.18088054656982,0,0,0,0,774,6.65157222747803,0,2.28500008583069,0.826366126537323,1,0,90,1,1,3,1,0,0,1,1,0.6931471824646,0,0,0,0,0,0,0,6
32,"11/29/2000",2000,"Vedeno","Vedenskiy",138,15,0,3,1512,7.32118797302246,5,5,1,0,702,6.55393409729004,0,1.3309999704361,0.285930514335632,1,0,8,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,7
33,"12/9/2000",2000,"Staropomyslovskiy (Groznyy)","Groznyy",121,2,0,1,20864,9.94578075408936,17,17,3,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,9,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,1,0,4
33,"12/9/2000",2000,"Urus-Martan","Urus-Martanovskiy",136,14,1,2,41122,10.6243000030518,4,4,0,0,234,5.45532083511353,1,3.7739999294281,1.32813501358032,0,1,1,0,0,4,1,1,1,12,1,2.56494903564453,1,1,0.6931471824646,0,0,0,0,3
34,"12/13/2000",2000,"Aslanbek-Sherpivo","Vedenskiy",10,15,0,3,204,5.31812000274658,0,0,0,0,986,6.89365577697754,0,0.740800023078918,-0.300024598836899,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,4
34,"12/13/2000",2000,"Urus-Martan","Urus-Martanovskiy",136,14,1,2,41122,10.6243000030518,4,4,0,0,234,5.45532083511353,1,3.7739999294281,1.32813501358032,0,1,13,0,0,4,1,1,1,12,1,2.56494903564453,0,0,0,0,0,0,0,3
35,"12/15/2000",2000,"Goity","Urus-Martanovskiy",50,14,0,2,11492,9.34940624237061,4,4,-4,0,217,5.37989711761475,0,4.65700006484985,1.53837096691132,0,0,90,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,-1,1,0,0,1
35,"12/15/2000",2000,"Makhkety","Vedenskiy",77,15,1,3,3495,8.15908908843994,1,1,-1,0,649,6.47543287277222,0,1.67599999904633,0.516409993171692,1,0,90,3,1,5,1,0,0,0,0,0,1,1,0.6931471824646,-1,1,0,0,6
36,"12/20/2000",2000,"Avtury","Shalinskiy",12,10,0,2,10724,9.28023910522461,3,3,-1,0,247,5.5093879699707,0,5.23600006103516,1.65555799007416,1,1,56,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,1
36,"12/20/2000",2000,"Grozny (Leninskiy)","Groznyy",74,2,1,1,18038,9.80023574829102,27,27,-5,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,1,10,1,12,1,1,1,1,1,0.6931471824646,1,1,0.6931471824646,-1,1,0,0,4
37,"1/24/2001",2001,"Chechen-Aul","Groznenskiy",22,3,0,2,6281,8.74528408050537,2,2,3,0,202,5.30826807022095,0,6.49200010299683,1.87057101726532,0,0,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,1,0,0
37,"1/24/2001",2001,"Novye Atagi","Shalinskiy",95,10,1,2,9311,9.13895130157471,0,0,2,0,266,5.58349609375,0,3.08599996566772,1.12687599658966,1,0,48,0,0,0,0,1,1,0,0,0,1,1,0.6931471824646,1,0,1,0,1
38,"1/26/2001",2001,"Dutsu-khote","Vedenskiy",31,15,1,3,400,5.99146509170532,0,0,0,0,983,6.89060878753662,0,1.48160004615784,0.393122613430023,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
38,"1/26/2001",2001,"Vedeno","Vedenskiy",138,15,0,3,1512,7.32118797302246,7,7,0,0,702,6.55393409729004,0,1.3309999704361,0.285930514335632,1,0,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,7
39,"1/26/2001",2001,"Musolt-Aul","Vedenskiy",87,15,0,3,482,6.17794418334961,0,0,0,0,1139,7.03790616989136,0,0.740800023078918,-0.300024598836899,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,1,6
39,"1/26/2001",2001,"Ulus-Kert","Shatoiskiy",135,11,1,3,303,5.71373319625854,0,0,0,0,1083,6.98749017715454,0,3.7039999961853,1.30941295623779,0,0,90,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
40,"2/5/2001",2001,"Alkhan-Kala","Groznenskiy",6,3,1,2,7787,8.9602108001709,1,1,0,0,195,5.27299976348877,0,1.58399999141693,0.459953308105469,0,0,76,0,0,7,1,1,1,10,1,2.39789509773254,0,0,0,0,0,0,0,5
40,"2/5/2001",2001,"Dai","Shatoiskiy",27,11,0,3,250,5.52146100997925,0,0,0,0,688,6.53378915786743,0,5.21299982070923,1.6511549949646,0,0,90,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,0,0,4,11
41,"2/7/2001",2001,"Geldagan (Gel'dygen)","Kurchaloevskiy",45,6,0,2,6401,8.76420974731445,0,0,0,0,162,5.08759593963623,0,4.26100015640259,1.4495040178299,1,0,90,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,2
41,"2/7/2001",2001,"Zakan-Yurt","Achkhoi-Martanovskiy",143,1,1,2,5464,8.60593605041504,0,0,0,0,284,5.64897394180298,0,3.7739999294281,1.32813501358032,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
42,"2/14/2001",2001,"Ilaskhan-Yurt","Gudermesskiy",57,4,0,2,3713,8.21959590911865,0,0,2,0,138,4.92725419998169,0,6.11159992218018,1.81018900871277,1,0,40,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,0
42,"2/14/2001",2001,"Martan-Chu","Urus-Martanovskiy",81,14,1,2,3917,8.27308177947998,0,0,0,0,321,5.7714409828186,0,3.5789999961853,1.27508294582367,0,0,90,0,0,0,0,0,1,1,1,0.6931471824646,0,0,0,0,0,0,1,6
43,"2/14/2001",2001,"Nizhny Dai","Shatoiskiy",92,11,1,3,450,6.10924816131592,0,0,0,0,640,6.46146821975708,0,0.550000011920929,-0.597836971282959,0,0,90,0,0,1,1,0,0,1,1,0.6931471824646,0,0,0,0,0,0,4,5
43,"2/14/2001",2001,"Ortsi-Yurt","Nozhai-Yurtovskiy",99,9,0,3,470,6.15273284912109,0,0,0,0,672,6.51025819778442,0,2.59999990463257,0.955511391162872,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,1,4
