IMMBRIT,over.estimate,RSex,RAge,Househld,paper,WWWhourspW,religious,employMonths,urban,health.good,HHInc,party_self
40,1,1,57,1,0,0,1,6,2,2,6,1
2,0,1,29,2,0,15,0,72,4,0,8,7
10,0,1,60,1,0,7,1,72,2,2,6,2
30,1,1,45,4,1,10,1,168,4,3,11,2
30,1,1,28,2,1,21,0,24,3,2,16,7
5,0,2,62,2,0,0,0,72,1,1,7,5
40,1,2,62,2,0,2,1,72,1,2,9,1
30,1,1,29,2,0,15,0,96,1,2,13,2
40,1,1,18,3,0,30,1,72,2,3,6,7
10,0,2,46,2,0,7,0,120,4,1,4,2
50,1,1,57,1,0,0,0,72,3,0,9,7
5,0,1,25,2,1,4,1,60,2,3,17,7
15,1,1,55,4,1,7,1,48,2,2,17,1
40,1,2,70,2,1,5,0,72,3,3,5,4
30,1,1,18,2,1,4,0,12,3,3,9,3
40,1,2,32,1,0,3,1,36,4,3,7,7
50,1,2,51,2,0,1,0,132,1,2,17,1
10,0,1,45,5,0,2,1,72,3,3,15,1
45,1,2,76,2,1,0,1,72,2,2,7,1
40,1,2,36,4,0,5,0,36,1,2,10,2
80,1,2,28,3,0,28,0,7,4,2,6,7
10,0,1,60,2,0,7,0,72,4,1,13,7
20,1,2,36,4,0,1,1,216,1,2,9,7
30,1,1,52,1,1,0,1,72,3,0,3,2
40,1,2,33,3,0,5,1,60,2,2,9,3
10,0,2,61,2,0,8,1,240,2,3,12,1
10,0,1,76,2,1,1,0,72,4,2,7,2
30,1,1,48,4,0,2,1,108,2,3,17,7
30,1,1,52,2,0,50,0,72,3,3,16,1
12,1,1,43,4,1,2,0,84,1,2,14,2
25,1,1,26,5,1,0,0,120,3,2,11,2
10,0,1,61,2,1,0,0,72,1,2,8,1
55,1,2,51,1,1,2,1,156,3,3,13,1
5,0,2,30,2,0,3,0,18,3,2,15,7
20,1,2,48,3,0,4,0,48,3,2,9,7
50,1,2,28,4,0,0,1,72,4,3,8,7
8,0,1,53,4,0,7,1,60,4,2,12,1
50,1,2,24,2,0,10,0,48,2,1,9,6
5,0,1,19,2,1,35,0,72,4,3,9,7
20,1,2,39,3,0,5,1,96,3,2,11,2
1,0,2,63,3,1,4,1,24,2,2,14,1
5,0,2,77,1,1,0,0,72,1,2,4,1
50,1,2,22,3,0,0,0,48,2,3,9,2
25,1,1,73,2,1,0,0,72,3,0,4,1
10,0,1,55,2,1,12,1,360,2,2,12,1
15,1,2,71,1,1,0,1,72,3,2,9,2
6,0,2,40,4,1,35,0,72,3,1,12,7
30,1,2,54,2,1,3,1,420,3,3,13,1
40,1,1,31,4,0,7,1,6,4,3,13,2
3,0,1,37,4,0,5,0,144,1,3,17,7
8,0,1,67,2,0,3,0,72,4,2,8,7
30,1,1,59,2,1,1,1,420,2,2,7,7
